english,old_english
i arrived in london.,ic ancwōm on lundene.
"The password is ""password.""","Þæt leafnessword is ""leafnessword""."
The birds sang.,Þā fuglas sungon.
Goodbye.,Far gesund!
Tom is my boyfriend.,Tom is min freond.
tom hates foreigners.,tom hataþ ūtlendan.
I am human.,Iċ eom wær.
"Abraham then ordered Isaac to bring the wood to the place, and he himself brought his sword and fire.","Abraham þa het Isaac beran þone wudu to þære stowe, and he self bær his sweord and fyr."
"to be or not to be, that is the question.","béon oþþe ne béon, þæt is þæt fræġn."
Tom's not Jewish.,Tom ne biþ Iūdēsiċne.
welcome to the english wikipedia.,ƿilcume on þā engliscan ƿikipǣdie.
"He then named the place Dominus videt, that is, 'God sees', and yet said so, In monte Dominus videbit, that is, 'God sees on the mountain'.","He het þa þa stowe Dominus videt, þæt is 'God gesiehð', and giet is gesægd swa, In monte Dominus videbit, þæt is 'God gesiehð on dune'."
you're everything to me.,þú bist eall tó mé.
Who is God?,Hwā is God?
"'now that i have realized that you truly fear god, now that you would slay your only begotten son for him.'","'nu ic oncneow soðlice þæt þu swiðe ondrætst god, nu þu þinne ancennedan sunu ofslean woldest for him.'"
We want peace.,Wē willaþ friþ.
he had a very beautiful wife.,hē hæfde ān swīþe ǣnliċ wīf.
Tom is not Trump.,Tom ne biþ Trump.
The cat is dead.,Se catt is dēad.
Hungry?,Hyngre?
Open the window!,Opena se ēagþȳrel.
everyone dies.,ælc mann sweltaþ.
What's your age?,Hū eald eart þū?
I am Tom.,Ic beo Tom.
I love you.,Ic lufige þē!
"Glorify the ocean, but stay on the ground.","Āwuldra se garsecg, ac wunaþ ōn þone grund."
Are you speaking English?,Spricest þú on Ænȝlisce?
Good-bye!,Far gesund!
i don't understand.,ic ne forstande.
what are you two doing?,hƿæt dōþ ᵹit?
i climb mountains.,ic climbe beorgas.
I am a man.,Iċ eom wær.
the apple isn't yet ripe.,se æppel ne is ᵹit rīpe.
I have one cat and one dog. The cat is black and the dog is white.,Ič hæbbe catt and hund. Se catt is blæc and se hund is hƿīte.
Hold it!,Bid!
i don't know him.,ič ne cann hine.
Free Scotland!,Frēoġaþ Scotland!
I love you!,Ič lufie þē.
"Caution, the doors are now closing!","Warna, þā dura nū lūcaþ!"
It's a black cat.,Se catt is blæc.
You shouldn't trust your memory so much.,Þū ne scealt swā swīðe trūwian þīnum gemynde.
He gave the thing to the king.,Hē ġeaf þæt þing þæm cyninge.
Omigod!,Mīn God!
We know the baker.,Wē cunnon þone bæcere.
I hear the birds.,Ic gehiere þa fuglas.
Hang on!,Bid!
possession is nearer to him who has than to him who claims.,"āgnung biþ nēr ðǣm, ðe hæfþ, ðonne ðǣm, ðe æftersprecþ."
I like horses.,Iċ wille hors.
Hurry up!,Sċēot!
Hey.,Gōdne ǣfen.
The apple is red.,Þes æppel biþ rēad.
a thing of beauty is a joy forever.,þinges fæġernes biþ winne on ecnesse.
he sat and read a book.,he sæt ond red boc.
my name's john.,mīn nama biþ iohannes.
"i have no money, but i have dreams.","ic ne hæbbe fēoh, ac ic hæbbe swefnu."
i killed god.,iċ ofslōg god.
I do love you.,Ic lufige þē!
Horses are animals.,Hors bēoþ dēor.
Bon appétit!,Gōd metesōcn!
"'take your only begotten son isaac, whom you love, quickly go to the land of vision, and sacrifice him there upon a mountain.'","'nim þinne ancennedan sunu isaac, þe þu lufast, and far to þam lande visionis hraðe, and geoffra hine þær uppan anre dune.'"
"abraham then arose in the same night, and went with two servants to the distant land, together with isaac, riding on donkeys.","abraham þa aras on þære ilcan nihte, and ferde mid twam cnapum to þam fierlenan lande, and isaac samod, on assum ridende."
You asked me.,Ġē frugnon mē.
i want a sword!,ic wille sweord!
the first month of the year is january.,se forma monaþ þæs ᵹēares is se æftera ġēola.
Happy Birthday!,Gesǣlig Nīwe Gēar.
God save the Queen!,God nere sēo cwēne!
who knows?,hwā cnǣwþ?
The end is nigh.,Se ende is nēah.
My wife looked surprised.,Mīn wīfmann wundrode.
Children are the flowers of our lives.,Cild sind þá blóstmas úrera lífa.
Yes!,Gea.
He sat and read a book.,He sæt ond red boc.
Tom kicked the bucket.,Tom is dēad.
"Our Father in heaven, hallowed be your name. Your Kingdom come, your will be done, on earth as in heaven. Give us today our daily bread. Forgive us our sins, as we forgive those who sin against us. Lead us not into temptation, but deliver us from evil.",Fæder ure þu þe eart on heofonum; Si þin nama gehalgod to becume þin rice gewurþe ðin willa on eorðan swa swa on heofonum. urne gedæghwamlican hlaf syle us todæg and forgyf us ure gyltas swa swa we forgyfað urum gyltendum and ne gelæd þu us on costnunge ac alys us of yfele soþlice.
That was the best day of my life.,Þæt ƿæs se besta dæᵹ mīnes līfes.
Thanks.,Þancie þé!
"My body is old, but my soul is young.","Mīn līchama is eald, ac mīn sāwol is ġeong."
He's young.,Hē is ġeong.
Goodbye.,Gōdne ǣfen.
war is evil.,gefeoht biþ yfel.
no.,ne.
birds sing.,fuglas galaþ.
the world is a school.,weorold biþ scol.
freedom is not free.,friþ-dōm ne is un-cēap.
"i can hear you, but i can't see you.","ič mæᵹ hȳran þē, ac ič ne mæᵹ sēon þē."
i like winter.,iċ wille winter.
I know that you're rich.,Ic wāt þe biþ rīċe.
i don't get it.,ič ne undernime.
Hello!,Gōdne mergen!
i use this.,ic benotiġe þisne.
Water is life.,Wæter biþ feorh.
i have a cat and a dog. the cat is black and the dog is white.,ič hæbbe catt and hund. se catt is blæc and se hund is hƿīte.
"We should not touch that tree, for fear that it may kill us.","Wē ðæt trēow ne hrepodon, ðī lǣs ðe wē swelton."
this sentence consists of six words.,þes cwide hæfþ six worda gebrocen.
"Water, please.","Wæter, bidde."
Go with your friends.,Ga mid þinum freondum.
"It's Summer, the flowers are here.","Hit's Sūmer, se blōman sindan hēr."
The coronavirus is dangerous.,Se Coronaclēofanwyrm beoþ frécenfulne.
She saw two ships.,Hēo geseah twā scipu.
Birds fly.,Fuglas flēogaþ.
The apple is not yet ripe.,Se æppel ne is ᵹit rīpe.
Goodnight.,Gōdne ǣfen.
you are my king.,þu bist min cyning.
my heart aches.,mīn heorte æcþ.
you are everything to me.,þú bist eall tó mé.
you asked me.,þū frugne mē.
you have seven children.,þu hæfst seofon cildru.
the dog is dead.,se hund is dēad.
my god!,mīn god!
